Perturbation, Real Part, Imaginary Part
1e-06, -735520.6512915242, -1909.9646772655042
1.4758620689655174e-05, -732939.3778866384, -1903.6110957967946
2.8517241379310347e-05, -730466.822508403, -1897.5250654685346
4.227586206896551e-05, -728081.9654663453, -1891.6548589547795
5.603448275862069e-05, -725767.0825878225, -1885.9568592406508
6.979310344827587e-05, -723506.9780360445, -1880.3936710278595
8.355172413793103e-05, -721288.4000619182, -1874.9326830926761
9.73103448275862e-05, -719099.5869421178, -1869.544951099688
0.00011106896551724138, -716929.9062632053, -1864.2043096991229
0.00012482758620689654, -714769.5608628164, -1858.8866490157905
0.00013858620689655173, -712609.3420046332, -1853.5693072699871
0.0001523448275862069, -710440.4148317274, -1848.2305427643898
0.00016610344827586206, -708254.1241560141, -1842.8490559981515
0.00017986206896551725, -706041.8104581246, -1837.403536890095
0.0001936206896551724, -703794.6268588218, -1831.8722143316877
0.0002073793103448276, -701503.3477859561, -1826.2323854481772
0.00022113793103448277, -699158.1593998383, -1820.4598998149543
0.00023489655172413793, -696748.4199682431, -1814.5285698179355
0.0002486551724137931, -694262.3755483571, -1808.4094710726347
0.00026241379310344834, -691686.811747906, -1802.0700854422257
0.0002761724137931035, -689006.6153015314, -1795.4732222705136
0.00028993103448275866, -686204.2087065554, -1788.5756271431953
0.0003036896551724138, -683258.8048631534, -1781.3261478176046
0.000317448275862069, -680145.4035298903, -1773.6632648201858
0.00033120689655172415, -676833.4114276975, -1765.5116959270636
0.00034496551724137937, -673284.7028935679, -1756.777624100737
0.00035872413793103453, -669450.8297484427, -1747.341831836701
0.0003724827586206897, -665268.9024673668, -1737.0495660826566
0.00038624137931034486, -660655.3319374559, -1725.6951387364481
0.0004, -655496.0021852292, -1712.9977449448415
