Perturbation [m], delta omega Real Part [Hz/m], delta omega Imaginary Part [Hz/m] 
2.1999999999999998e-07, 0.0003778608493716764, 1.097946663000283e-05
0.000758833103448276, 1.2974871478970755, 0.03767797712047944
0.001517446206896552, 2.5830354954389327, 0.07496362120428006
0.002276059310344828, 3.8572067055795034, 0.111873996714549
0.003034672413793104, 5.120180682955931, 0.14841505940981362
0.00379328551724138, 6.3721335359628775, 0.18459263917278707
0.004551898620689656, 7.6132376772896535, 0.22041244334483134
0.005310511724137932, 8.843661919369532, 0.2558800598969138
0.006069124827586208, 10.063571568236176, 0.2910009605411438
0.006827737931034484, 11.273128513811809, 0.3257805037307831
0.00758635103448276, 12.472491316420154, 0.36022393752829196
0.008344964137931036, 13.661815294013536, 0.3943364025033288
0.009103577241379312, 14.84125260291105, 0.4281229344122091
0.009862190344827588, 16.01095231769332, 0.46158846684596994
0.010620803448275864, 17.17106050950254, 0.49473783383206843
0.01137941655172414, 18.32172032005875, 0.527575772291509
0.012138029655172416, 19.463072035116124, 0.5601069244717998
0.012896642758620692, 20.59525315500619, 0.5923358402936121
0.013655255862068968, 21.71839846363027, 0.6242669796370035
0.014413868965517244, 22.832640094543414, 0.6559047145341611
0.01517248206896552, 23.93810759505632, 0.6872533312992992
0.015931095172413794, 23.94496102722586, 0.718213007090306
0.01668970827586207, 25.03835737963631, 0.7489984811551904
0.017448321379310346, 26.12330335589255, 0.7795071876150608
0.018206934482758622, 27.199919490644152, 0.8097430904639571
0.018965547586206898, 28.26832401372564, 0.8397100777623047
0.019724160689655174, 29.32863290686338, 0.8694119635148958
0.02048277379310345, 30.380959955803597, 0.8988524893835299
0.021241386896551726, 29.777864044591823, 0.938653465834585
0.022000000000000002, 30.822013729064, 0.9675348315839895
