duct length, eigenvalues, continuous, discrete
1.0, (1062.9792173740514-4.193656372554916e-17j), (-169.64858619507226-6.066088224897029e-12j), (-169.03188534512293+3.7806720657457445e-15j) 
1.1, (966.3447430156533+2.008986617439929e-17j), (-140.2078658970237-8.647194345855845e-11j), (-139.7108040992878-1.0806847253004022e-13j) 
1.2, (885.8160144055402+1.8473635292350505e-15j), (-117.81449520780215-2.3267123619088263e-10j), (-117.40600836575001+2.654626758348701e-15j) 
1.3, (817.6763209725056+6.160987074706523e-17j), (-100.38705391034769-6.952921338802759e-11j), (-100.04532736411636-4.4077005893805144e-14j) 
1.4, (759.2708694632752-8.1307331617875e-17j), (-86.55861429467123+3.5135590575671193e-10j), (-86.26859177240468+5.704563480391454e-15j) 
1.5, (708.6528114918856+3.7438396048939966e-15j), (-75.40274634174284-9.811355437955029e-11j), (-75.15317934850053+4.95271833852316e-15j) 
1.6, (664.3620107696795+3.870860359559412e-18j), (-66.27202129232523-1.8352200923787005e-10j), (-66.05531422089679+3.685734980971942e-15j) 
1.7000000000000002, (625.2818924854308+1.724945377759498e-16j), (-58.70475264932514-3.2552831223421766e-10j), (-58.51473194556797+7.109865458096312e-16j) 
1.8, (590.5440095675293-2.6848837488711306e-16j), (-52.36332189037217+2.2535471585201083e-10j), (-52.1952808675335+1.0008825840343115e-15j) 
1.9, (559.4627459042576+7.474836249088543e-17j), (-46.99662478986035+1.1757483485888133e-10j), (-46.84686783121262-3.767705538544678e-15j) 
2.0, (531.4896086079023+1.829278856012266e-17j), (-42.414523864908915-1.126258373862127e-10j), (-42.28028088383522+3.922380959423741e-15j) 
