Perturbation [m], delta omega Real Part [Hz/m], delta omega Imaginary Part [Hz/m] 
1e-06, -0.735876888128131, -0.001909481904010909
1.4758620689655174e-05, -10.846834308818407, -0.028147632586956434
2.8517241379310347e-05, -20.9329244456722, -0.05432460868949223
4.227586206896551e-05, -30.995054506159008, -0.08044264155949343
5.603448275862069e-05, -41.0340662795771, -0.10650380166202546
6.979310344827587e-05, -51.05074169866094, -0.13251001226247158
8.355172413793103e-05, -61.0458078039975, -0.15846306163123294
9.73103448275862e-05, -71.01994118183461, -0.18436461395736722
0.00011106896551724138, -80.9737719405709, -0.21021621912656327
0.00012482758620689654, -90.90788727707046, -0.2360193214943281
0.00013858620689655173, -100.82283468325363, -0.2617752677720723
0.0001523448275862069, -110.7191248338393, -0.28748531412418116
0.00016610344827586206, -120.59723418793943, -0.3131506325661081
0.00017986206896551725, -130.4576073363727, -0.338772316744249
0.0001936206896551724, -140.3006591261399, -0.3643513871506957
0.0002073793103448276, -150.12677657849943, -0.38988879584816233
0.00022113793103448277, -159.9363206287552, -0.4153854307422908
0.00023489655172413793, -169.72962769864773, -0.44084211945489926
0.0002486551724137931, -179.50701112628377, -0.46625963283276456
0.00026241379310344834, -189.26876245911217, -0.4916386881313378
0.0002761724137931035, -199.01515262599736, -0.5169799519036133
0.00028993103448275866, -208.7464330036097, -0.5422840426126452
0.0003036896551724138, -218.46283638002086, -0.5675515330046337
0.000317448275862069, -228.16457782791076, -0.5927829522577432
0.00033120689655172415, -237.85185549453064, -0.6179787879232442
0.00034496551724137937, -247.52485131496297, -0.6431394876841684
0.00035872413793103453, -257.18373165567544, -0.6682654609308487
0.0003724827586206897, -266.8286478923867, -0.6933570801858753
0.00038624137931034486, -276.4597369268682, -0.7184146823792836
0.0004, -286.07712164999487, -0.743438569975415
