Perturbation [m], delta omega Real Part [Hz/m], delta omega Imaginary Part [Hz/m] 
2.1999999999999998e-07, 0.00036455295542239666, 1.1342125950545685e-05
0.000758833103448276, 1.2512892776958895, 0.038904243321450864
0.001517446206896552, 2.490076822101012, 0.0773673613753189
0.002276059310344828, 3.716935061350207, 0.11540806021684293
0.003034672413793104, 4.9320671251642265, 0.1530335356988578
0.00379328551724138, 6.135671531802923, 0.19025082034644292
0.004551898620689656, 7.327942319710647, 0.2270667880156015
0.005310511724137932, 8.509069170580924, 0.26348815825539673
0.006069124827586208, 9.679237533602668, 0.29952150070737626
0.006827737931034484, 10.838628739640711, 0.3351732391523245
0.00758635103448276, 11.987420116129782, 0.37044965557707066
0.008344964137931036, 13.125785096695243, 0.4053568940592731
0.009103577241379312, 14.253893326362387, 0.4399009644958036
0.009862190344827588, 15.371910764977837, 0.4740877462633786
0.010620803448275864, 16.479999786246847, 0.5079229917275219
0.01137941655172414, 17.578319272569722, 0.5414123296023349
0.012138029655172416, 18.667024710517477, 0.5745612683337198
0.012896642758620692, 19.74626827740796, 0.6073751991651105
0.013655255862068968, 20.816198932128312, 0.6398593993524778
0.014413868965517244, 21.87696249644382, 0.6720190350519871
0.01517248206896552, 22.92870173860146, 0.7038591642702425
0.015931095172413794, 23.971556451474893, 0.735384739644747
0.01668970827586207, 25.00566353007478, 0.7666006111804948
0.017448321379310346, 26.03115704580311, 0.7975115288839494
0.018206934482758622, 27.0481683166977, 0.8281221452541745
0.018965547586206898, 28.05682598023465, 0.8584370178566897
0.019724160689655174, 29.05725605968767, 0.8884606116789172
0.02048277379310345, 30.049582028604704, 0.9181973014103293
0.021241386896551726, 31.033924876553705, 0.9476513737751944
0.022000000000000002, 32.01040316928664, 0.9768270296604835
