Perturbation [%], delta omega Real Part [Hz/m], delta omega Imaginary Part [Hz/m] 
1e-05, 0.00099123258998756, -1.6243488655937417e-05
0.0015482051282051281, 0.15323301393170966, -0.0025121159475859703
0.0030864102564102562, 0.3050195284585947, -0.005002628481936846
0.004624615384615384, 0.45635375671982203, -0.00748781620608947
0.006162820512820512, 0.6072386533074703, -0.009967713928467025
0.00770102564102564, 0.7576771471234136, -0.01244235615466627
0.009239230769230769, 0.9076721416784065, -0.014911777091163161
0.010777435897435897, 1.0572265153418567, -0.01737601064802595
0.012315641025641024, 1.2063431216745868, -0.01983509044298855
0.013853846153846152, 1.355024789550152, -0.022289049802789368
0.01539205128205128, 1.503274323561003, -0.024737921767955574
0.01693025641025641, 1.6510945042909668, -0.027181739096223716
0.018468461538461538, 1.7984880884464833, -0.02962053426374732
0.020006666666666666, 1.9454578091964911, -0.03205433946940648
0.021544871794871794, 2.0920063764147754, -0.03448318663744096
0.02308307692307692, 2.2381364769243035, -0.03690710742046444
0.02462128205128205, 2.383850774750259, -0.039326133202472566
0.026159487179487177, 2.5291519113314824, -0.041740295101147885
0.027697692307692305, 2.6740425057687593, -0.044149623971017564
0.029235897435897433, 2.818525155076199, -0.04655415040628121
0.03077410256410256, 2.9626024344152104, -0.04895390474351001
0.032312307692307696, 3.1062768973291823, -0.05134891706469703
0.033850512820512824, 3.2495510759231347, -0.05373921719898129
0.03538871794871795, 3.392427481139508, -0.0561248347262367
0.03692692307692308, 3.5349086029414636, -0.05850579897897343
0.03846512820512821, 3.6769969105948768, -0.060882139045936784
0.040003333333333335, 3.8186948527828153, -0.06325388377313255
0.04154153846153846, 3.9600048579168616, -0.06562106176780864
0.04307974358974359, 4.100929334279804, -0.0679837013998831
0.04461794871794872, 4.2414706702946186, -0.07034183080532994
0.04615615384615385, 4.3816312346234225, -0.07269547788714828
0.047694358974358975, 4.521413376514795, -0.07504467031960046
0.0492325641025641, 4.66081942591165, -0.07738943554948663
0.05077076923076923, 4.7998516936069064, -0.07972980079776672
0.05230897435897436, 4.93851247158681, -0.08206579306395412
0.053847179487179486, 5.0768040330667015, -0.08439743912626817
0.055385384615384614, 5.214728632780124, -0.08672476554506937
0.05692358974358974, 5.3522885071419815, -0.08904779866493248
0.05846179487179487, 5.48948587440476, -0.09136656461635558
0.06, 5.62632293488907, -0.09368108931849803
