Perturbation [%], delta omega [Hz/m] 
1e-05, -0.0008458681903117595
0.0015482051282051281, -0.13076147725231244
0.0030864102564102562, -0.26028878887989443
0.004624615384615384, -0.38943034518486136
0.006162820512820512, -0.5181886661553752
0.00770102564102564, -0.6465662498559488
0.009239230769230769, -0.7745655726946983
0.010777435897435897, -0.902189089622229
0.012315641025641024, -1.029439234456542
0.013853846153846152, -1.1563184199232175
0.01539205128205128, -1.2828290381358565
0.01693025641025641, -1.4089734606018618
0.018468461538461538, -1.5347540385111709
0.020006666666666666, -1.6601731030107159
0.021544871794871794, -1.7852329653575176
0.02308307692307692, -1.9099359171229402
0.02462128205128205, -2.034284230493113
0.026159487179487177, -2.1582801583330733
0.027697692307692305, -2.2819259344624534
0.029235897435897433, -2.4052237739198077
0.03077410256410256, -2.528175873044676
0.032312307692307696, -2.6507844097311914
0.033850512820512824, -2.7730515436398924
0.03538871794871795, -2.89497941637756
0.03692692307692308, -3.016570151610169
0.03846512820512821, -3.1378258553692087
0.040003333333333335, -3.2587486161774275
0.04154153846153846, -3.379340505178593
0.04307974358974359, -3.499603576470767
0.04461794871794872, -3.619539867059953
0.04615615384615385, -3.7391513972440595
0.047694358974358975, -3.858440170697809
0.0492325641025641, -3.9774081745548098
0.05077076923076923, -4.096057379808582
0.05230897435897436, -4.2143897412317175
0.053847179487179486, -4.332407197656835
0.055385384615384614, -4.450111672162339
0.05692358974358974, -4.567505072177292
0.05846179487179487, -4.684589289666074
0.06, -4.801366201252023
