Perturbation, Discrete Shape Derivative
0.001, (-84.5040555633977+5.454256164895616e-18j)
0.016736842105263158, (-83.2361968447217+5.231387404271338e-18j)
0.032473684210526314, (-82.02280025265213+5.018091829546363e-18j)
0.04821052631578947, (-80.8604299139844+4.8137659013570516e-18j)
0.06394736842105263, (-79.74593304013698+4.617855346262362e-18j)
0.07968421052631579, (-78.67641135225156+4.429850693599847e-18j)
0.09542105263157893, (-77.64919590987766+4.249282811440828e-18j)
0.1111578947368421, (-76.66182486519303+4.075718923321757e-18j)
0.12689473684210525, (-75.71202375860219+3.908759216547277e-18j)
0.14263157894736841, (-74.79768802110513+3.748033762283407e-18j)
0.15836842105263157, (-73.91686740235076+3.5931997219260535e-18j)
0.17410526315789474, (-73.06775208062436+3.4439389557304314e-18j)
0.18984210526315787, (-72.24866024584487+3.2999558423851737e-18j)
0.20557894736842103, (-71.4580269784122+3.1609752778513626e-18j)
0.2213157894736842, (-70.69439426650973+3.026740979402419e-18j)
0.23705263157894735, (-69.95640202989216+2.897013860904899e-18j)
0.2527894736842105, (-69.24278003295196+2.771570635484506e-18j)
0.26852631578947367, (-68.552340586675+2.650202526343205e-18j)
0.28426315789473683, (-67.88397194955355+2.5327141132365827e-18j)
0.3, (-67.23663235285665+2.4189222644595837e-18j)
