Perturbation [%], delta omega dynx [Hz/m] 
1e-05, -0.0008461593838736153
0.0015482051282051277, -0.13100282975659208
0.003086410256410256, -0.2611595001789432
0.004624615384615383, -0.39131617065048746
0.006162820512820512, -0.5214728411710099
0.00770102564102564, -0.6516295117400969
0.009239230769230767, -0.7817861823576503
0.010777435897435895, -0.9119428530231867
0.012315641025641023, -1.0420995237365043
0.01385384615384615, -1.1722561944973455
0.015392051282051279, -1.3024128653053915
0.016930256410256406, -1.43256953616044
0.018468461538461534, -1.562726207062177
0.020006666666666662, -1.6928828780101974
0.02154487179487179, -1.8230395490043936
0.023083076923076918, -1.9531962200444624
0.024621282051282046, -2.083352891130122
0.02615948717948717, -2.2135095622610867
0.0276976923076923, -2.3436662334370517
0.02923589743589743, -2.4738229046579043
0.030774102564102557, -2.6039795759233044
0.03231230769230768, -2.7341362472328763
0.03385051282051281, -2.86429291858657
0.035388717948717945, -2.99444958998408
0.036926923076923066, -3.1246062614250074
0.03846512820512819, -3.2547629329092334
0.04000333333333332, -3.3849196044364667
0.041541538461538456, -3.5150762760065812
0.04307974358974358, -3.645232947619125
0.044617948717948705, -3.775389619274041
0.04615615384615383, -3.9055462909709573
0.04769435897435897, -4.035702962709756
0.049232564102564096, -4.165859634490069
0.050770769230769223, -4.296016306311742
0.052308974358974344, -4.426172978174536
0.05384717948717948, -4.556329650078248
0.05538538461538461, -4.686486322022602
0.056923589743589735, -4.816642994007312
0.05846179487179487, -4.946799666032268
0.05999999999999999, -5.076956338097263
